Kernel; GTX480 Ref; GTX480 Us; HD7970 Ref; HD7970 Us
#Nvidia 1;       11.7142;          ;    18.5745;
#Nvidia 2;       17.1636;          ;    67.1949;
Nvidia A;       22.1649;   25.3886;    81.8189;  85.9227
Nvidia B;       41.5486;   48.6003;   141.2493; 161.6070
#Nvidia 5;       70.4653;          ;   170.5222;
#Nvidia 6;       79.6689;          ;   183.8903;
Nvidia C;      115.3737;  137.6170;    58.74529; 175.4400
AMD;            86.9886;   76.1936;   213.3686; 212.869
blank1;;;;
blank2;;;;
blank3;;;;
blank4;;;;
blank5;;;;
blank6;;;;
blank7;;;;
blank8;;;;
Thrust;        109.4220;          ;           ;
cuBLAS;	       139.3827;          ;           ;
clBLAS;        140.0000;          ;   206.0000;
auto-expl;      0      ;  130.2700;    0       ; 204.461809
